t,x1,x2,x3,h
4e-05,-4.167397362562017,0.003567376918224196,4.107917752760937,1.0
8e-05,-4.173259432989766,0.005291004563667074,4.112476726916953,1.0
0.00012011312544349235,-4.176243788847386,0.006203494625715729,4.114771088231648,1.0
0.00016230989917412415,-4.177865078579067,0.00671307773591149,4.116006953843638,1.0
0.0002079495489876442,-4.178748284704226,0.006995508467372121,4.116676505156575,1.0
0.0002583439557503076,-4.179214394761796,0.007146068438381318,4.117028706230101,1.0
0.0003149566127576157,-4.1794461550359285,0.0072213400788077855,4.117203514816522,1.0
0.0003796424082736542,-4.179551857084082,0.007255763689424845,4.117283170614049,1.0
0.0004549531262498862,-4.179594718252074,0.0072697391530397,4.117315457249634,1.0
0.0005446296446261229,-4.179609543547787,0.007274575458069626,4.117326623135343,1.0
0.0006544979195048708,-4.179613663722709,0.007275919755248594,4.117329726140381,1.0
0.0007942710837715275,-4.1796145030939655,0.0072761936302608715,4.1173303582824925,1.0
0.000981571754422582,-4.179614611610519,0.0072762290379933025,4.1173304400075725,1.0
0.0012520482378113986,-4.1796146189325984,0.007276231427105078,4.117330445521917,1.0
0.0016878938662501389,-4.179614619214668,0.007276231519140702,4.117330445734348,1.0
0.0024922309604420247,-4.179614619231176,0.0072762315245273506,4.11733044574678,1.0
0.0041297749385200856,-4.179614619232983,0.007276231525117213,4.11733044574814,1.0
0.007751063423088974,-4.179614619233206,0.007276231525189851,4.1173304457483075,1.0
0.016662067446321316,-4.179614619233224,0.007276231525195718,4.11733044574832,1.0
0.031042653426475587,-4.179614202706731,0.00727611482207074,4.117330117201956,1.0
0.04015701980506739,-4.180987050981669,0.007544252861017685,4.118502732701745,0.9963073583150103
0.04140604066553577,-4.181271221361498,0.007600483091969777,4.118744899110573,0.9955704360073339
0.04265506152600415,-4.181552567665126,0.007655894144389592,4.118984861320219,0.9948335136996576
0.043991850999308184,-4.181854075204841,0.007715254504659583,4.11924203743483,0.9940448079104082
0.04560663518140989,-4.1822194208982815,0.007787209722086439,4.119553647336653,0.9930920852429682
0.04779343859343101,-4.182716290030298,0.00788512677784855,4.119977395223311,0.9918018712298757
0.051100547221355964,-4.183472358881986,0.008034254743112127,4.120622106145078,0.9898506771394
0.056486682628506486,-4.1847158662182204,0.008279869997947486,4.12168222141829,0.9866728572491812
0.06472509440040598,-4.186647503110248,0.00866225381906197,4.123328384382455,0.9818121943037604
0.07655329802619222,-4.1894852107991385,0.00922588268495611,4.125745391329102,0.9748335541645466
0.09278978751786089,-4.193509129557336,0.010028966655027845,4.129170047331605,0.9652540253644621
0.11420667601811496,-4.199057433556232,0.011143718061544714,4.133886847448546,0.9526180611493122
0.1413008274687736,-4.206498519825035,0.012652371621125808,4.140203200219965,0.9366325117934236
0.17436393647948534,-4.216281659244206,0.014659778634529715,4.148490779780104,0.9171252774771037
0.21320378723307504,-4.228887247702775,0.017286777012069546,4.15914084698112,0.8942097655324858
0.25721121467795166,-4.24485498358071,0.02068068182200327,4.172584767980071,0.8682453833400086
0.3053130894669055,-4.264752866799037,0.025015191583090776,4.189263267444308,0.8398652772145258
0.35602666428738233,-4.289132537024032,0.030488316525575265,4.209583471094849,0.8099442680704444
0.4076160856083235,-4.31847409035331,0.03731782614312522,4.233867184169486,0.7795065094910891
0.4592055069292647,-4.3538009730723175,0.045901238837378046,4.262847525536878,0.7490687509117339
0.5107949282502059,-4.397228722738795,0.057009368803882216,4.298075649580607,0.7186309923323786
0.5211128125143941,-4.407149525520363,0.05963481401845301,4.306060345348162,0.7125434406165075
0.5314306967785823,-4.417558744745208,0.06242544282023716,4.314412327647042,0.7064558889006364
0.5455065586900725,-4.432617783303262,0.0665280123079628,4.326448172034876,0.6981511303728573
0.5595824206015626,-4.448773951610323,0.0710161218988203,4.339298538260738,0.6898463718450781
0.5738877404430294,-4.466459019177282,0.07603279796130068,4.353290141910628,0.6814062331386127
0.5881930602844961,-4.485591444801163,0.08158346787688939,4.3683377768354354,0.6729660944321473
0.6024983801259629,-4.506380533146703,0.08776159410366348,4.384582296756579,0.664525955725682
0.6168036999674297,-4.529083954287892,0.09468492530277424,4.402195124490131,0.6560858170192165
0.6311090198088964,-4.554024114920008,0.10250428043556108,4.421388186010013,0.6476456783127511
0.6454143396503632,-4.581612111815986,0.11141655656836774,4.44242833474476,0.6392055396062857
0.65971965949183,-4.612383869198021,0.12168458100435735,4.465658953557452,0.6307654008998204
0.6723558548630868,-4.64278052368461,0.1321667577128242,4.488359752269213,0.6233100456307789
0.6836309918005875,-4.673006855713963,0.14292387859429556,4.5106906587459905,0.6166577148376534
0.6949061287380882,-4.706814543514082,0.15534693816241535,4.535382724712963,0.610005384044528
0.7049754957304664,-4.740726886732971,0.1682180428709619,4.559853410957674,0.6040644575190249
0.7150448627228445,-4.779011288860554,0.1832311686522473,4.587128387596866,0.5981235309935218
0.7251142297152227,-4.822821565954005,0.20101922744322873,4.617899664790936,0.5921826044680186
0.7341517984071789,-4.86818159101631,0.22008907108360962,4.649288566538673,0.5868504389397645
0.7431893670991352,-4.92099058383266,0.24307380087362654,4.685270630883932,0.5815182734115103
0.7522269357910915,-4.9836548247690455,0.2713453937744694,4.727260290620047,0.5761861078832561
0.7612645044830477,-5.059632564498277,0.306898097010634,4.777283143571718,0.5708539423550019
0.770302073175004,-5.153823049528152,0.35258787223234106,4.838206907534007,0.5655217768267476
0.7793396418669603,-5.272789324316489,0.4122798800094097,4.913890239928054,0.5601896112984935
0.7885601041859166,-5.427661235242631,0.4923470367203216,5.011068742141954,0.5547495385303093
